City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cockburn town,21.4612,-71.1419,81.99,72,4,18.25,TC,1698497830
1,sinop,41.7711,34.8709,71.29,46,100,1.9,TR,1698497831
2,hobyo,5.3505,48.5268,83.07,69,100,12.86,SO,1698497832
3,lebu,-37.6167,-73.65,53.55,95,100,24.87,CL,1698497832
4,olonkinbyen,70.9221,-8.7187,30.51,79,87,5.86,SJ,1698497833
5,ellensburg,46.9965,-120.5479,29.1,57,6,2.71,US,1698497834
6,blackmans bay,-43.0167,147.3167,50.74,68,0,1.01,AU,1698497835
7,yellowknife,62.456,-114.3525,24.42,100,100,6.91,CA,1698497836
8,port-aux-francais,-49.35,70.2167,41.59,97,100,18.5,TF,1698497837
9,harstad,68.799,16.5293,34.16,89,90,7.0,NO,1698497837
10,vila velha,-20.3297,-40.2925,82.35,74,40,12.66,BR,1698497838
11,leninskoye,41.7589,69.3864,67.8,37,100,3.09,KZ,1698497839
12,waitangi,-43.9535,-176.5597,49.82,80,22,11.01,NZ,1698497841
13,carnarvon,-24.8667,113.6333,69.73,71,5,23.13,AU,1698497841
14,edinburgh of the seven seas,-37.0676,-12.3116,58.57,93,100,11.05,SH,1698497842
15,puerto natales,-51.7236,-72.4875,37.85,81,100,3.44,CL,1698497843
16,gadzhiyevo,69.2551,33.3362,26.31,87,100,5.68,RU,1698497844
17,toliara,-23.35,43.6667,81.54,62,2,12.46,MG,1698497845
18,borgarnes,64.5383,-21.9206,44.65,74,100,5.61,IS,1698497846
19,petropavlovsk-kamchatsky,53.0452,158.6483,37.45,59,0,6.71,RU,1698497846
20,iqaluit,63.7506,-68.5145,13.73,78,40,5.75,CA,1698497847
21,luderitz,-26.6481,15.1594,73.67,42,0,38.83,NA,1698497848
22,sitka,57.0531,-135.33,40.59,85,55,4.47,US,1698497850
23,callao,-12.0667,-77.15,69.71,77,100,9.22,PE,1698497686
24,enewetak,11.3474,162.3373,82.92,75,29,9.06,MH,1698497851
25,longyearbyen,78.2186,15.6401,26.44,86,75,6.91,SJ,1698497852
26,huilong,31.8111,121.655,64.92,64,100,7.81,CN,1698497854
27,college,64.8569,-147.8028,15.46,86,100,2.15,US,1698497855
28,conceicao da barra,-18.5933,-39.7322,83.7,64,98,7.85,BR,1698497857
29,mata-utu,-13.2816,-176.1745,80.74,82,28,13.94,WF,1698497858
30,atafu village,-8.5421,-172.5159,82.44,76,91,4.65,TK,1698497859
31,thompson,55.7435,-97.8558,14.16,92,100,2.3,CA,1698497860
32,chonchi,-42.6128,-73.8092,44.11,96,100,10.47,CL,1698497861
33,puerto baquerizo moreno,-0.9,-89.6,73.89,76,100,12.53,EC,1698497864
34,constantia,44.1833,28.65,75.88,34,17,14.47,RO,1698497779
35,isafjordur,66.0755,-23.124,35.64,80,0,0.0,IS,1698497865
36,bethel,41.3712,-73.414,66.65,87,0,6.49,US,1698497866
37,whitehorse,60.7161,-135.0538,14.81,92,75,9.22,CA,1698497867
38,punta arenas,-53.15,-70.9167,37.51,75,0,4.61,CL,1698497869
39,kurchatov,51.6601,35.6521,52.41,92,100,23.76,RU,1698497819
40,grytviken,-54.2811,-36.5092,30.4,78,100,5.03,GS,1698497871
41,ribeira grande,38.5167,-28.7,68.4,64,40,17.27,PT,1698497872
42,tura,25.5198,90.2201,67.73,82,0,3.49,IN,1698497874
43,qiziltepa,40.0331,64.85,78.35,30,100,4.63,UZ,1698497875
44,vrangel',42.7297,133.0839,43.72,51,0,8.88,RU,1698497876
45,tiksi,71.6872,128.8694,0.75,97,100,3.58,RU,1698497876
46,cururupu,-1.8283,-44.8683,90.01,54,9,9.57,BR,1698497877
47,dalton,34.7698,-84.9702,65.98,99,0,0.0,US,1698497878
48,acarau,-2.8856,-40.12,88.48,56,5,21.14,BR,1698497880
49,talnakh,69.4865,88.3972,1.2,92,80,1.68,RU,1698497880
50,susuman,62.7833,148.1667,0.99,99,94,1.01,RU,1698497881
51,rongelap,11.1635,166.8941,83.25,74,92,11.36,MH,1698497882
52,bilibino,68.0546,166.4372,-5.6,96,71,1.63,RU,1698497883
53,anadyr,64.75,177.4833,36.1,93,100,13.42,RU,1698497589
54,georgetown,5.4112,100.3354,80.53,94,40,5.01,MY,1698497867
55,wailua homesteads,22.0669,-159.378,70.23,75,74,3.69,US,1698497886
56,porbandar,21.6422,69.6093,84.88,56,100,12.1,IN,1698497887
57,mount gambier,-37.8333,140.7667,42.39,88,69,2.46,AU,1698497688
58,west island,-12.1568,96.8225,78.78,78,100,21.85,CC,1698497893
59,vorgashor,67.5833,63.95,11.84,97,100,4.18,RU,1698497894
60,chos malal,-37.3781,-70.2709,50.29,48,60,32.66,AR,1698497895
61,pudasjarvi,65.3833,26.9167,24.1,82,17,3.0,FI,1698497896
62,nova sintra,14.8667,-24.7167,75.67,77,69,16.08,CV,1698497897
63,ancud,-41.8697,-73.8203,44.33,91,100,27.4,CL,1698497898
64,sakaiminato,35.55,133.2333,60.78,55,75,8.05,JP,1698497603
